timestamp,host,total,rtt
2025-10-29T10:37:19Z,10.0.0.1,4,0.1
2025-10-29T10:37:19Z,10.0.0.2,4,0.1
2025-10-29T10:37:19Z,10.0.0.3,4,0.1
2025-10-29T10:37:20Z,10.0.0.1,4,0.1
2025-10-29T10:37:20Z,10.0.0.2,4,0.1
2025-10-29T10:37:20Z,10.0.0.3,4,0.1
2025-10-29T10:37:21Z,10.0.0.1,4,0.1
2025-10-29T10:37:21Z,10.0.0.2,4,0.1
2025-10-29T10:37:21Z,10.0.0.3,4,0.1
2025-10-29T10:37:22Z,10.0.0.1,4,0.1
2025-10-29T10:37:22Z,10.0.0.2,4,0.1
2025-10-29T10:37:22Z,10.0.0.3,4,0.1
2025-10-29T10:37:23Z,10.0.0.1,4,0.1
2025-10-29T10:37:23Z,10.0.0.2,4,0.1
2025-10-29T10:37:23Z,10.0.0.3,4,0.1
2025-10-29T10:37:24Z,10.0.0.1,4,0.1
2025-10-29T10:37:24Z,10.0.0.2,4,0.1
2025-10-29T10:37:24Z,10.0.0.3,4,0.1
2025-10-29T10:37:25Z,10.0.0.1,4,0.1
2025-10-29T10:37:25Z,10.0.0.2,4,0.1
2025-10-29T10:37:25Z,10.0.0.3,4,0.1
2025-10-29T10:37:26Z,10.0.0.1,4,0.1
2025-10-29T10:37:26Z,10.0.0.2,4,0.1
2025-10-29T10:37:26Z,10.0.0.3,4,0.1
2025-10-29T10:37:27Z,10.0.0.1,4,0.1
2025-10-29T10:37:27Z,10.0.0.2,4,0.1
2025-10-29T10:37:27Z,10.0.0.3,4,0.1
2025-10-29T10:37:28Z,10.0.0.1,4,0.1
2025-10-29T10:37:28Z,10.0.0.2,4,0.1
2025-10-29T10:37:28Z,10.0.0.3,4,0.1
2025-10-29T10:37:29Z,10.0.0.1,4,0.1
2025-10-29T10:37:29Z,10.0.0.2,4,0.1
2025-10-29T10:37:29Z,10.0.0.3,4,0.1
2025-10-29T10:37:30Z,10.0.0.1,4,0.1
2025-10-29T10:37:30Z,10.0.0.2,4,0.1
2025-10-29T10:37:30Z,10.0.0.3,4,0.1
2025-10-29T10:37:31Z,10.0.0.1,4,0.1
2025-10-29T10:37:31Z,10.0.0.2,4,0.1
2025-10-29T10:37:31Z,10.0.0.3,4,0.1
2025-10-29T10:37:32Z,10.0.0.1,4,0.1
2025-10-29T10:37:32Z,10.0.0.2,4,0.1
2025-10-29T10:37:32Z,10.0.0.3,4,0.1
2025-10-29T10:37:33Z,10.0.0.1,4,0.1
2025-10-29T10:37:33Z,10.0.0.2,4,0.1
